Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Nucleus: Area	Nucleus: Perimeter	Nucleus: Circularity	Nucleus: Max caliper	Nucleus: Min caliper	Nucleus: Eccentricity	Nucleus: Hematoxylin OD mean	Nucleus: Hematoxylin OD sum	Nucleus: Hematoxylin OD std dev	Nucleus: Hematoxylin OD max	Nucleus: Hematoxylin OD min	Nucleus: Hematoxylin OD range	Nucleus: Eosin OD mean	Nucleus: Eosin OD sum	Nucleus: Eosin OD std dev	Nucleus: Eosin OD max	Nucleus: Eosin OD min	Nucleus: Eosin OD range	Cell: Area	Cell: Perimeter	Cell: Circularity	Cell: Max caliper	Cell: Min caliper	Cell: Eccentricity	Cell: Hematoxylin OD mean	Cell: Hematoxylin OD std dev	Cell: Hematoxylin OD max	Cell: Hematoxylin OD min	Cell: Eosin OD mean	Cell: Eosin OD std dev	Cell: Eosin OD max	Cell: Eosin OD min	Cytoplasm: Hematoxylin OD mean	Cytoplasm: Hematoxylin OD std dev	Cytoplasm: Hematoxylin OD max	Cytoplasm: Hematoxylin OD min	Cytoplasm: Eosin OD mean	Cytoplasm: Eosin OD std dev	Cytoplasm: Eosin OD max	Cytoplasm: Eosin OD min	Nucleus/Cell area ratio
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1599.2	1184.6	20.61	18.291	0.7741	7.5206	3.6944	0.8824	0.6629	153.1322	0.225	1.156	0.2524	0.9036	0.0347	8.0056	0.0701	0.1698	-0.1787	0.3485	67.77	33.0181	0.7812	13.2281	6.9548	0.8631	0.2921	0.2909	1.156	-0.0908	0.1263	0.0814	0.3152	-0.1787	0.1295	0.1129	0.5383	-0.0908	0.1665	0.0456	0.3152	-0.0033	0.2991
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1608.7	1185.3	17.91	17.0945	0.7702	6.9833	3.3529	0.8735	0.7385	149.168	0.2547	1.1777	0.2509	0.9268	0.0341	6.8869	0.084	0.188	-0.1199	0.3079	67.68	31.9791	0.8316	12.7141	7.4919	0.791	0.2364	0.3483	1.1777	-0.1012	0.1018	0.0914	0.3005	-0.1199	0.0531	0.127	0.5837	-0.1012	0.1265	0.081	0.3005	-0.0492	0.2624
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1471.7	1185.9	32.76	21.9314	0.8559	7.421	5.8269	0.5675	0.4699	172.933	0.1141	0.7673	0.1528	0.6146	0.1527	56.2003	0.0444	0.2711	0.0057	0.2654	96.12	36.9398	0.8852	12.761	10.0229	0.6236	0.2571	0.1803	0.7673	-0.042	0.1826	0.0517	0.3438	-0.0311	0.1461	0.0821	0.5166	-0.042	0.1981	0.0484	0.3438	-0.0311	0.3391
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1554.2	1185.6	15.57	14.3985	0.9438	5.0322	3.8118	0.6458	0.4257	75.3571	0.2147	0.8421	0.0378	0.8043	0.0696	12.3195	0.0585	0.2553	-0.0426	0.2979	73.35	31.5799	0.9242	11.0365	8.4149	0.6416	0.0847	0.2138	0.8421	-0.1261	0.1268	0.1053	0.373	-0.0542	-0.0096	0.0675	0.2108	-0.1261	0.1426	0.1098	0.373	-0.0542	0.2066
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1517.1	1185.6	20.34	17.9271	0.7953	6.9516	3.8698	0.8254	0.6869	156.6163	0.1314	0.9688	0.4221	0.5468	0.0698	15.9205	0.0568	0.1811	-0.0889	0.27	54.63	28.3021	0.857	10.6411	7.623	0.6463	0.4274	0.2456	0.9688	0.0078	0.1294	0.0697	0.2956	-0.0889	0.2722	0.1472	0.6861	0.0078	0.1651	0.0493	0.2956	0.0388	0.3657
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1528.2	1190.1	35.64	26.5298	0.6363	9.4972	5.5001	0.8651	0.7495	302.7827	0.1592	1.2039	0.4116	0.7924	0.0304	12.2882	0.0788	0.2179	-0.2427	0.4606	87.84	37.0223	0.8053	13.5028	9.6351	0.7146	0.5202	0.2566	1.2039	-0.0705	0.1039	0.1003	0.3094	-0.2427	0.3585	0.1766	0.7818	-0.0705	0.1556	0.0794	0.3094	-0.066	0.4065
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1665.7	1188.2	18.63	17.1276	0.798	6.0039	4.2481	0.6817	0.6967	144.9225	0.1969	1.1951	0.1883	1.0068	0.0667	13.8665	0.088	0.3367	-0.1205	0.4572	51.84	30.2577	0.7115	11.2497	6.8892	0.835	0.382	0.3248	1.1951	-0.1203	0.1281	0.1124	0.4069	-0.1652	0.2055	0.237	0.8808	-0.1203	0.1626	0.11	0.4069	-0.1652	0.3524
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1493	1189.5	15.48	15.3523	0.8253	5.8026	3.3496	0.8258	0.5691	98.462	0.1252	0.8411	0.3143	0.5268	0.1024	17.7109	0.039	0.2003	0.0034	0.1969	48.42	27.0686	0.8304	9.7151	6.0812	0.7927	0.3825	0.17	0.8411	0.0734	0.1413	0.0525	0.2553	-0.0475	0.2948	0.105	0.6019	0.0734	0.1595	0.0479	0.2553	-0.0475	0.3163
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1500.5	1191	30.6	23.0385	0.7245	9.0361	4.9362	0.8597	0.6704	227.2662	0.1957	1.0759	0.2003	0.8756	0.0068	2.3071	0.1522	0.2576	-0.4467	0.7043	88.2	36.3659	0.8381	13.4546	9.0771	0.7749	0.3444	0.2825	1.0759	-0.0135	0.1179	0.1363	0.3139	-0.4467	0.1728	0.1274	0.8235	-0.0135	0.1764	0.0791	0.3139	-0.2964	0.3423
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1657	1188.3	16.74	17.0316	0.7252	6.5172	3.5019	0.8673	0.6409	121.1258	0.2494	1.2637	0.0914	1.1723	0.0384	7.2667	0.1214	0.3205	-0.3269	0.6474	50.76	28.2146	0.8013	9.9832	7.4381	0.6492	0.3232	0.3217	1.2637	-0.1136	0.1151	0.1254	0.3752	-0.3269	0.1647	0.2206	0.8589	-0.1136	0.1533	0.1089	0.3752	-0.2693	0.3227
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1461	1189.4	29.43	22.9784	0.7004	8.4415	5.9611	0.7139	0.4619	153.3617	0.1547	0.9832	0.1985	0.7846	0.1574	52.2703	0.0528	0.253	-0.0047	0.2577	85.05	36.6199	0.797	12.3756	10.7379	0.357	0.2609	0.2031	0.9832	-0.0927	0.1967	0.0568	0.3251	-0.0047	0.1531	0.1314	0.7827	-0.0927	0.2178	0.0468	0.3251	0.0442	0.348
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1560.9	1188.2	10.98	12.5262	0.8794	4.4457	3.116	0.7005	0.3126	39.39	0.1334	0.5511	0.0536	0.4975	0.0946	11.9232	0.1235	0.2371	-0.2356	0.4727	42.03	25.0454	0.842	8.9039	6.8913	0.4524	0.1071	0.1582	0.5511	-0.099	0.1271	0.1125	0.3049	-0.2356	0.032	0.0813	0.2222	-0.099	0.1389	0.106	0.3049	-0.0824	0.2619
14AH02822-3-H&E-PYN-Lvl-1.ndpi	Negative	Negative	PathAnnotationObject	Polygon	1603.3	1192.2	46.62	29.221	0.6861	10.8665	6.0912	0.8507	0.8223	425.967	0.205	1.2025	0.3108	0.8917	-0.0272	-14.0956	0.081	0.1916	-0.2624	0.454	116.91	43.6066	0.7726	16.0405	10.3309	0.8148	0.4068	0.3885	1.2025	-0.0951	0.0752	0.1113	0.3188	-0.2624	0.1333	0.1846	0.7782	-0.0951	0.1426	0.069	0.3188	-0.0598	0.3955
